timestamp_iso,weth_per_geth_mint,weth_per_geth_redeem,weth_per_geth_mid,asset_symbol,share_symbol,period_expiration_unix
2026-02-01T03:17:01.776Z,0.922377604064645973,0.922377604064645973,0.922377604064645862,WETH,GV-V1,1769976439
2026-02-02T02:49:54.746Z,0.923112906653599907,0.923112906653599907,0.923112906653599907,WETH,GV-V1,1770062839
2026-02-03T02:46:14.707Z,0.929992360909679960,0.929992360909679960,0.929992360909680071,WETH,GV-V1,1770149239
2026-02-04T02:40:40.822Z,0.931747596871492889,0.931747596871492889,0.931747596871492778,WETH,GV-V1,1770235639
2026-02-05T02:42:55.300Z,0.926975451374683734,0.926975451374683734,0.926975451374683623,WETH,GV-V1,1770322039
2026-02-06T02:43:02.284Z,0.873954974679225005,0.873954974679225005,0.873954974679225005,WETH,GV-V1,1770408439
2026-02-07T02:38:46.631Z,0.868336885272971148,0.868336885272971259,0.868336885272971259,WETH,GV-V1,1770494839
2026-02-08T03:22:14.224Z,0.873136423316336452,0.873136423316336452,0.873136423316336452,WETH,GV-V1,1770581239
