timestamp_iso,weth_per_geth_mint,weth_per_geth_redeem,weth_per_geth_mid,asset_symbol,share_symbol,period_expiration_unix
2026-01-01T02:28:17.020Z,0.974356625840624435,0.974356625840624435,0.974356625840624546,WETH,GV-V1,1767298039
2026-01-02T02:14:56.768Z,0.975280927229636219,0.975280927229636108,0.975280927229636219,WETH,GV-V1,1767384439
2026-01-03T02:06:02.639Z,0.978173253058642889,0.978173253058642778,0.978173253058642778,WETH,GV-V1,1767470839
2026-01-04T02:29:21.081Z,0.978384833270597998,0.978384833270597887,0.978384833270597998,WETH,GV-V1,1767557239
2026-01-05T02:28:52.828Z,0.978326102995062619,0.978326102995062619,0.978326102995062619,WETH,GV-V1,1767643639
2026-01-06T02:12:31.925Z,0.978430225138344101,0.978430225138344101,0.978430225138344101,WETH,GV-V1,1767730039
2026-01-07T02:11:56.017Z,0.978529840664169259,0.978529840664169259,0.978529840664169370,WETH,GV-V1,1767816439
2026-01-08T02:12:02.527Z,0.980555564132879254,0.980555564132879254,0.980555564132879254,WETH,GV-V1,1767902839
2026-01-09T02:19:21.814Z,0.981493676915531910,0.981493676915531799,0.981493676915531799,WETH,GV-V1,1767989239
2026-01-10T02:09:06.837Z,0.981855714341139607,0.981855714341139607,0.981855714341139607,WETH,GV-V1,1768075639
2026-01-11T02:29:08.814Z,0.981978814954972967,0.981978814954972967,0.981978814954973078,WETH,GV-V1,1768162039
2026-01-12T02:24:49.774Z,0.982433508053757398,0.982433508053757398,0.982433508053757398,WETH,GV-V1,1768248439
2026-01-13T02:10:10.504Z,0.982912349322760615,0.982912349322760615,0.982912349322760504,WETH,GV-V1,1768334839
2026-01-14T02:23:44.814Z,0.978732496514584605,0.978732496514584716,0.978732496514584716,WETH,GV-V1,1768421239
2026-01-15T02:11:55.002Z,0.980000773911253065,0.980000773911253065,0.980000773911253176,WETH,GV-V1,1768507639
2026-01-16T02:19:51.476Z,0.981559631032844604,0.981559631032844604,0.981559631032844715,WETH,GV-V1,1768594039
2026-01-17T02:07:32.905Z,0.982466857086553458,0.982466857086553458,0.982466857086553347,WETH,GV-V1,1768680439
2026-01-18T02:27:48.774Z,0.981983111053392976,0.981983111053393087,0.981983111053392976,WETH,GV-V1,1768766839
2026-01-19T02:25:10.770Z,0.985261696177413437,0.985261696177413437,0.985261696177413437,WETH,GV-V1,1768853239
2026-01-20T02:20:20.062Z,0.985856105337718502,0.985856105337718613,0.985856105337718613,WETH,GV-V1,1768939639
2026-01-21T02:23:05.996Z,0.984058988797447465,0.984058988797447465,0.984058988640893917,WETH,GV-V1,1769026039
2026-01-22T02:24:12.809Z,0.987541189461417779,0.987541189461417779,0.987541189461417779,WETH,GV-V1,1769112439
2026-01-23T02:20:34.855Z,0.986242359764821774,0.986242359764821774,0.986242359764821885,WETH,GV-V1,1769198839
2026-01-24T02:09:57.992Z,0.986448394292531949,0.986448394292531949,0.986448394292531949,WETH,GV-V1,1769285239
2026-01-25T02:31:47.170Z,0.986816094525556076,0.986816094525556076,0.986816094525556076,WETH,GV-V1,1769371639
2026-01-26T02:30:35.984Z,0.983274516054257974,0.983275018182722227,0.983274516054257863,WETH,GV-V1,1769458039
2026-01-27T02:26:32.315Z,0.987832629658925376,0.987832629658925376,0.987832629658925265,WETH,GV-V1,1769544439
2026-01-28T02:22:39.741Z,0.991920836833813047,0.991920836833813047,0.991920836833813158,WETH,GV-V1,1769630839
